Genre,album rock,big room,classic rock,dance pop,electro house,electropop,gangster rap,hard rock,hip hop,hip pop,indie poptimism,latin hip hop,latin pop,neo soul,new jack swing,permanent wave,pop edm,post-teen pop,progressive electro house,reggaeton,southern hip hop,trap,tropical,urban contemporary
edm,0.0,820.0,0.0,0.0,1145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0,0.0,1388.0,0.0,0.0,0.0,0.0,0.0
latin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1181.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,0.0,983.0,0.0
pop,0.0,0.0,0.0,774.0,0.0,878.0,0.0,0.0,0.0,0.0,1291.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0
r&b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,0.0,0.0,0.0,1298.0,697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094.0
rap,0.0,0.0,0.0,0.0,0.0,0.0,1119.0,0.0,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.0,1034.0,0.0,0.0
rock,812.0,0.0,731.0,0.0,0.0,0.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
