Genre,A major,A minor,A# major,A# minor,B major,B minor,C major,C minor,C# major,C# minor,D major,D minor,D# major,D# minor,E major,E minor,F major,F minor,F# major,F# minor,G major,G minor,G# major,G# minor
edm,3.754345307068366,3.8238702201622248,2.5724217844727693,3.5921205098493627,3.1286210892236386,6.79026651216686,6.79026651216686,3.3603707995365006,8.227114716106605,4.055619930475087,6.465816917728853,1.761297798377752,1.205098493626883,1.969872537659328,2.132097334878331,4.264194669756662,2.850521436848204,6.6048667439165705,3.3371958285052146,5.422943221320973,7.137891077636153,3.2213209733487833,4.565469293163384,2.966396292004635
latin,4.9184857695496,5.194805194805195,3.0118817352859906,3.9789997236805745,3.5645205857971813,5.664548217739707,8.040895274937828,2.818458137607074,7.571152252003316,4.1171594363083726,5.222437137330754,1.9066040342636088,1.4368610113290965,1.464492953854656,2.182923459519204,3.923735838629456,3.592152528322741,4.421110804089527,3.923735838629456,4.807957999447361,7.957999447361149,3.122409505388229,4.6421663442940035,2.514506769825919
pop,5.045242665204277,4.962983273923773,3.016177680285166,3.2629558541266794,3.7016726076227036,5.3742802303262955,8.884014258294489,3.0984370715656704,6.580751302440362,4.222648752399232,6.498491911159857,1.8097066081710995,1.782286811077598,1.562928434329586,3.5919934192486975,3.5371538250616945,4.743624897175761,3.838771593090211,3.783931998903208,3.729092404716205,6.800109679188374,2.7145599122566493,5.182341650671785,2.275843158760625
r&b,4.394175767030681,4.5761830473218925,2.3920956838273533,5.642225689027561,2.938117524700988,5.356214248569943,6.760270410816433,2.9641185647425896,8.788351534061363,4.134165366614664,5.720228809152366,2.4440977639105563,1.0400416016640666,1.8980759230369215,1.5600624024960998,4.420176807072283,3.354134165366615,6.006240249609984,3.926157046281851,4.290171606864274,6.578263130525221,3.094123764950598,4.758190327613105,2.9641185647425896
rap,3.7254901960784315,3.8562091503267975,1.7429193899782136,7.3202614379084965,3.4640522875816995,6.056644880174292,6.3616557734204795,2.9411764705882355,12.156862745098039,4.335511982570806,6.383442265795207,1.3725490196078431,0.5664488017429193,1.7211328976034859,1.1546840958605664,4.989106753812636,2.156862745098039,4.139433551198257,3.0718954248366015,5.185185185185185,7.0588235294117645,2.113289760348584,5.010893246187364,3.1154684095860565
rock,9.003496503496503,4.195804195804196,2.4475524475524475,2.2144522144522143,3.3216783216783217,4.545454545454546,10.664335664335665,1.3986013986013985,3.6713286713286712,2.972027972027972,10.635198135198134,2.593240093240093,1.719114219114219,0.9615384615384616,5.06993006993007,4.3997668997669,4.545454545454546,2.156177156177156,3.175990675990676,2.4475524475524475,10.402097902097902,1.68997668997669,4.74941724941725,1.0198135198135199
