,rock,r&b,pop,rap,edm,latin
rock,0.07803837953091684,0.0255863539445629,0.007462686567164179,0.006609808102345416,0.01769722814498934,0.010874200426439232
r&b,0.017057569296375266,0.0650319829424307,0.005543710021321962,0.03901918976545842,0.012366737739872069,0.024946695095948827
pop,0.027078891257995737,0.026865671641791045,0.02110874200426439,0.023880597014925373,0.03646055437100213,0.02025586353944563
rap,0.014072494669509595,0.02814498933901919,0.00511727078891258,0.11023454157782515,0.01833688699360341,0.01982942430703625
edm,0.010660980810234541,0.007462686567164179,0.007249466950959489,0.01769722814498934,0.13198294243070363,0.008955223880597015
latin,0.008955223880597015,0.02601279317697228,0.010447761194029851,0.04029850746268657,0.022601279317697228,0.04605543710021322
